FEN,REAL,SYNTHETIC
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR,game2_frame_000200.png,game2_frame_000200.png
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR,game2_frame_000588.png,game2_frame_000588.png
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR,game2_frame_000620.png,game2_frame_000620.png
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR,game2_frame_000840.png,game2_frame_000840.png
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR,game2_frame_000872.png,game2_frame_000872.png
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR,game2_frame_000896.png,game2_frame_000896.png
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR,game2_frame_000936.png,game2_frame_000936.png
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR,game2_frame_001024.png,game2_frame_001024.png
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR,game2_frame_001040.png,game2_frame_001040.png
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR,game2_frame_001124.png,game2_frame_001124.png
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R,game2_frame_001152.png,game2_frame_001152.png
rnbq1rk1/ppp1bpp1/4pn1p/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R,game2_frame_001172.png,game2_frame_001172.png
rnbq1rk1/ppp1bpp1/4pn1p/3p4/2PP3B/2N1PN2/PP3PPP/R2QKB1R,game2_frame_001188.png,game2_frame_001188.png
rnbq1rk1/ppp1bpp1/4p2p/3p4/2PPn2B/2N1PN2/PP3PPP/R2QKB1R,game2_frame_001216.png,game2_frame_001216.png
rnbq1rk1/ppp1Bpp1/4p2p/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R,game2_frame_001280.png,game2_frame_001280.png
rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R,game2_frame_001300.png,game2_frame_001300.png
rnb2rk1/ppp1qpp1/4p2p/3p4/2PPn3/2N1PN2/PPQ2PPP/R3KB1R,game2_frame_001740.png,game2_frame_001740.png
rnb2rk1/ppp1qpp1/4p2p/3p4/2PP4/2n1PN2/PPQ2PPP/R3KB1R,game2_frame_001916.png,game2_frame_001916.png
